method,condition,n_kp1,n_kp2,n_covis,n_matches,ratio,ms,MMA@1,MMA@3,MMA@5,MMA@10,recall@3,n_inliers,H_corner_err,n_pairs
orb,illumination,2000.0,2000.0,2000.0,1535.7333,0.8,66.6033,0.9324,0.9834,0.9915,0.9943,0.7559,1511.6,0.082,30
orb,scale,2000.0,2000.0,1552.1,594.3333,0.8,59.09,0.4026,0.887,0.9443,0.956,0.3432,534.5,3.7337,30
orb,viewpoint,2000.0,2000.0,1836.9333,737.5667,0.8,60.92,0.5158,0.9105,0.958,0.9698,0.3662,677.5667,2.2273,30
sift,illumination,2000.4,1950.9,2000.4,1425.3,0.8,378.92,0.9644,0.9769,0.978,0.9796,0.6964,1393.0667,0.037,30
sift,scale,2000.4,1951.0333,1314.1667,638.5333,0.8,508.04,0.8864,0.9086,0.9107,0.9139,0.5176,583.6333,0.24,30
sift,viewpoint,2000.4,1992.6667,1691.3,942.4,0.8,482.72,0.8952,0.9424,0.9464,0.9496,0.5304,889.8,0.2197,30
tinydesc,illumination,2000.4,1950.9,2000.4,1423.8667,0.8,416.92,0.9655,0.9753,0.9763,0.9783,0.6946,1389.5333,0.0363,30
tinydesc,scale,2000.4,1951.0333,1314.1667,336.9667,0.8,377.3267,0.8088,0.8369,0.8401,0.8437,0.2624,288.4667,0.3513,30
tinydesc,viewpoint,2000.4,1992.6667,1691.3,889.8,0.8,447.1967,0.8777,0.9293,0.935,0.9394,0.494,831.4333,0.2,30
