AP50,precision,recall,n_gt,n_pred,model,split,imgsz,n_images
0.43676562012816667,0.24725470410162045,0.5963920108812371,13969,33694,yolo11s zero-shot (COCO),val,1280,548
0.7086111716408029,0.1905170359780796,0.8586155057627604,13969,62955,yolo11s fine-tuned (30ep),val,1280,548
