AP50,precision,recall,n_gt,n_pred,model,split,imgsz,n_images
0.43676562012816667,0.24725470410162045,0.5963920108812371,13969,33694,yolo11s zero-shot (COCO),val,1280,548
0.7123226636083577,0.187085243608672,0.861765337533109,13969,64345,yolo11s fine-tuned (30ep),val,1280,548
